ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
52,Prairie Provinces 1918 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
53,Pictou County NS January 23 1918 88 dead 11 survivors an explosion at the Allan coal shaft in the Albion Mines between Stellarton and New Glasgow,january,dead,survivors
54,Trenton ON October 12 1918 A munitions factory in the town of Trenton exploded as a result of an uncontrollable fire The plant was responsible for the production of various chemicals and munitions for the war effort and employed 2500 people The fire lasted 3 days,october,munitions,factory
55,West coast BC October 23 1918 343 dead the CP steamship Princess Sophia carrying miners from Yukon and Alaska became stranded on Vanderbilt Reef  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale  The next day weather conditions worsened and the ship sank killing all on board,october,dead,cp
56,Prairie Provinces 1919 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
57,Prairie Provinces 1920 Cereal crop drought occurred in parts of the Prairies Alberta communities were hardest hit,cereal,crop,drought
58,Southwestern Ontario March 1721 1920 Widespread flooding caused minor damages and flooded roads and railways,march,widespread,flooding
59,Southeastern Saskatchewan July 22 1920 The tornado swept over a large portion of southeastern Saskatchewan devastating the area Four people died more than a dozen were injured and losses to property equipment crops and live stock were estimated to be in excess of 100000 1920 dollars Many settlers lost both their homes and livelihoods in one sudden unexpected blow Large scale relief was undertaken by the Canadian Red Cross to assist 42 affected families in Alameda Frobisher Lampman Steelman and Estevan SK,july,tornado,swept
60,Icelandic and Fisher Rivers MB AprilJune 1986 Little warning preceded the flood on April 1 1986 which continued on until the end of June A sudden spring thaw and enormous amounts of rain caused this severe flooding throughout Manitoba Extensive damage to private municipal and provincial property was incurred The areas surrounding Icelandic River and Fisher River were inundated including Peguis and Fisher River First Nation reserves 148 people were evacuated from Peguis Major areas affected were the Dauphin Region Portage la Prairie and the Northern Interlake regions,apriljune,warning,preceded
61,Saint John River between Simonds and Woodstock NB April 14 1986 Flooding occurred along sections of the Saint John River in early April 1986 due to ice jams,april,flooding,occurred
62,Montreal QC May 29 1986 Hail the size of golf ballstennis balls up to 8 cm in diameter fell in Montreal,hail,size,golf
63,Canning NS May 30 1986 500 evacuated,evacuated,,
64,Waswanipi Reserve QC June 2 1986 A major forest fire forced the evacuation of 500 people living on the Waswanipi reserve,june,major,forest
65,Southern Alberta May 1415 1986 A 2day storm described as the worst spring storm in living memory in Alberta brought kneedeep snow and 80 kmh winds,storm,described,spring
66,Grand Falls NL May 1516 1986 1000 evacuated at Grand Falls,evacuated,,
67,Upper Gagetown and Burton NB May 1516 1986 1000 evacuated between Upper Gagetown and Burton,evacuated,,
68,Lake St Clair ON April 4 1987 A storm with northerly winds of almost 60 kmh caused severe flood damage along Lake St Clair,april,storm,northerly
69,Saskatchewan and Alberta July 1624 1986  A flood occurred on the North Saskatchewan River several of its tributaries and on tributaries of the Athabasca River  On July 22 and 24 Battleford and Prince Albert respectively experienced flooding The floods resulted from heavy precipitation in the mountains foothills and Great Plains regions compounded by high antecedent soil moisture conditions  Crops were destroyed and farm buildings were damaged  Hundreds of homes were flooded and severe erosion occurred in some communities causing road and bridge damage and several washouts  The extensive flooding also caused an overflow in several municipal sewer systems leading to sewer collapse The event resulted in one death Refer to the Alberta entry for more information on this weather system,july,flood,occurred
70,Montreal and Westmount QC October 26 1986 At 454 pm a fire struck the 10th floor of the Plaza AlexisNihon office tower It took 200 firefighters around 13 hours to stop the blaze,october,pm,fire
71,Winnipeg MB November 7 1986 A major storm dumped 30 cm of snow on Winnipeg,november,major,storm
72,Montreal QC May 29 1987 The worst hailstorm on record in the province Hailstones of 1012 mm in diameter caused damage to trees gardens window glass automobiles and roofs,hailstorm,record,hailstones
73,Winnipeg MB July 6 1987 A thunderstorm caused at least 2 tornadoes in Winnipeg,july,thunderstorm,caused
74,Montreal QC July 14 1987 The city experienced severe thunderstorms and intense rainfall with 100 mm of rain in 1 hour Major expressways were flooded with over three metres of water,july,experienced,severe
75,Emerson MB October 1987 A CN Rail propane tanker and two other cars derailed south of Emerson forcing 300 area residents to evacuate,october,cn,rail
76,Goulais River ON 1988,,,
77,Edmonton AB July 31 1987 27 dead 600 injured 1700 homeless,july,dead,injured
78,Northern British Columbia 1988,,,
79,Whitedog Lake ON 1988 500 evacuated,evacuated,,
80,Come by Chance NL March 7 1988 A ship released a total of 80 m3 of oil in two consecutive spills,march,ship,released
81,Duck Mountain and Swan River MB April 1 1988 A sudden thaw along with excessive rain produced severe flooding in the Duck MountainSwan River area of Manitoba Damages occurred  to private municipal and provincial property,april,sudden,thaw
82,SaintRomuald near Quebec Harbour QC May 8 1988 A major fuel spill occurred at a loading dock,saintromuald,major,fuel
83,Linton QC May 10 1988 A train derailed due to the collapse of the track in a section where the supporting dike was washed out,train,derailed,collapse
84,Sarnia ON May 24 1988 An electrical breakdown caused the accidental release of 96 tonnes of acrylonitryle into the St Clair River,electrical,breakdown,caused
85,Lethbridge Taber Irma and Wainwright AB June 411 1988 Flooding due to severe weather,june,flooding,severe
86,Louiseville Yamachiche and StJustin Region of TroisRivieres QC June 20 1988 A storm system created violent winds which destroyed several houses and caused damage to telephone lines businesses and agricultural lands,stjustin,troisrivieres,june
87,Central and Southern AB June 2829 1988,june,,
88,Norman Wells NT June 29  July 3 and July 1115 1988 Two severe flood events occurred in the Laird and Mackenzie River Basins of southwestern Northwest Territories,june,july,july
89,Central and Southern ON and Manitoba July 511 1988,july,,
90,Courtland ON December 17 1988 A fire of unknown origin swept through a series of fertiliser warehouses of an agricultural cooperative but was under control before reaching a neighbouring gas station,december,fire,unknown
91,Lesser Slave Lake area AB July 58 1988 A severe rainstorm which started on July 5 1988 brought up to 160 mm of rain to the Town of Slave Lake and surrounding areas This caused overbank flooding and log jams on Sawridge Creek Driftpile River and Swan River Individuals small businesses farms a hospital and government property sustained damage Major highways north of Edmonton to Slave Lake were closed Over 800 homes flooded 500 of them severely damaged Approximately 2800 residents were evacuated from the area,july,severe,rainstorm
92,Calgary AB August 16 1988 Thunderstorms caused major flooding with 40 to 200 mm of rain falling in different locations Up to 5 cm of hail also fell in the southern part of Calgary  Streets turned into rivers and left many motorists stranded  Individuals small businesses farmers and government property were damaged Approximately 400 homes were affected by sewer backup 50 had damage due to surface water flooding There were 3000 property damage claims and 2000 automobile claims,august,thunderstorms,caused
93,Saguenay region QC November 25 1988 Some minor damage was caused at Jonquiere Chicoutimi La Baie and Quebec City  Magnitude 60,november,minor,damage
94,SaintBasileleGrand QC August 23 1988 A fire broke out in a warehouse containing 848 m3 of toxic solid and liquid wastes containing PCBs,saintbasilelegrand,august,fire
95,Prairie Provinces 1989 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
96,Dundas ON 1989 200 evacuated,evacuated,,
97,Sarnia ON 1989 Train derailment releasing dangerous goods,train,derailment,releasing
98,Albany and Attawapiskat Rivers ON 1989 1000 evacuated,evacuated,,
99,Niagara Falls ON 1989 100 evacuated,evacuated,,
100,Yukon to Ontario January 30 1989 Freezing caused pipes to burst in British Columbia,january,freezing,caused
101,Dryden ON March 10 1989 24 dead 45 injured an Air Ontario  F28 passenger plane crashed shortly after takeoff from a scheduled stop in Dryden,march,dead,injured
102,Montmartre SK July 1989 The Canadian Red Cross assisted the victims,july,canadian,assisted
103,Liard River NT May 19 1989 Flooding caused by severe ice jams near 3 Mile Island damaged the community of Fort Liard  A State of Emergency was declared on May 1 due to the high water levels 1 m in some areas  Water built up when the ice jam reached Fort Simpson and the town of Hay River was also damaged Personal municipal and territorial property was damaged riverbanks were eroded Over 50 homes were affected by the flooding and 125 people were evacuated there was no loss of life,flooding,caused,severe
104,Northern MB MaySeptember 1989 One of the worst forest fires in Canadian history raged across northern Manitoba forcing the evacuation of roughly 25000 people in approximately 25 communities,mayseptember,forest,fires
105,Radisson QC July 22 1989 Forest fires caused the evacuation of 300 people from Radisson to Montreal and Val dOr,july,forest,fires
106,Nova Scotia September 10 1989 Hurricane Gabrielle battered the coast of Nova Scotia with 6 to 9 metre swells and winds gusting to 150 kmh,september,hurricane,gabrielle
107,Ottawa ON September 12 1989 The driver of a tank truck carrying 57 m3 of gasoline lost control and crashed into a public transport bus,september,driver,tank
108,SaintJacques QC September 29 1989 A highway collision between a car and transport truck containing ethylene glycol resulted in 9100 kg of the product spilling into a river below the road causing serious pollution,saintjacques,september,highway
109,Sudbury ON October 2 1989 A vehicle collision caused a transport truck carrying 42 tonnes of sulphuric acid to crash into a ditch,october,vehicle,collision
110,Southwestern British Columbia November 812 1989 A rainstorm which caused flooding occurred in southwestern British Columbia Over 500 homes were flooded a salmon hatchery incurred damage and many service roads were washed away Parts of the TransCanada highway were blocked with mudslides The flooding also caused damage to the Coquihala highway and to the Owekena First Nation reserve,november,rainstorm,caused
111,Gulf of St Lawrence QC December 7 1989  Two ships Johanna B and Capitaine Torres about 200 km apart sank shortly after issuing distress calls during a brutal storm  All 39 seamen aboard the two ships went missing and were presumed dead,december,ships,johanna
112,SaintLeonard dAston QC December 12 1989 33 of the 92 cars that made up the train from Charny bound for Montreal left the track near the town of SaintLeonard dAston,saintleonard,daston,december
113,Ungava Peninsula QC December 25 1989 The first earthquake in eastern North America to have produced surface faulting  Magnitude 63,december,earthquake,america
114,Newfoundland December 9 1990 Heavy rain caused this damaging flood  Up to 100 millemetres of rain fell on the area forcing the closure of highways flooding homes and damaging bridges,december,heavy,rain
115,Prairie Provinces 1990 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
116,Calgary AB July 9 1990,july,,
117,Old Crow YT July 20 1990 Fires threatened the community of Old Crow north of Inuvik requiring the evacuation of the community residents,july,fires,threatened
118,Harrow ON July 23 1990 A fire destroyed a warehouse containing fertilisers and chemical products,july,fire,destroyed
119,Winnipeg MB May 29 2010 Heavy rains over the course of a week caused significant flooding in Winnipeg and the surrounding area Out of the 180000 residential properties in Winnipeg 619 reported being flooded As a result 420 were damaged by overland flooding while 199 suffered sewage backups The province offered disaster financial assistance for the flood event alongside other events which occurred over the spring and summer,heavy,rains,course
120,British Columbia to Ontario December 1989 AA January 1990 Two serious cold spells began on December 1928 1989,december,aa,january
121,Banff AB February 11 1990 Four people from Calgary were killed by an avalanche while crosscountry skiing in Banff National Park,february,people,killed
122,Hagersville ON February 12 1990 A fire was set by arsonists in a pile of 14 million used tires,february,fire,set
123,Vancouver Harbour BC February 23 1990 Two ships collided in fog causing a spill of 40 tonnes of marine diesel oil,february,ships,collided
124,La Baie QC March 19 1990 The byproducts of aluminium manufacturing were being loaded onto a Norwegian ship when a pocket of gas was released and caused a serious explosion,march,byproducts,aluminium
125,SainteAnne des Plaines QC April 23 1990 50000 tires on fire,sainteanne,april,tires
126,Sarnia ON March 27 1991,march,,
127,StAmable QC May 1619 1990 A fire started accidentally in a pile of 35 million tires and took three days to extinguish,stamable,fire,started
128,Western Alberta May 25  July 4 1990 Heavy rains caused extensive flooding and runoff damage in a number of communities in Alberta during several separate periods Rains fell from Peace River in the north to High River in the South Flooding caused damage to public works businesses First Nation reserves farmland and extensive damage of private residences Sewers backed up roads and bridges washed out The communities most affected were Thorsby Winfield Calman Mudhurst and Bentley During late May several rivers were 133m above their normal level and  on July 23 100150 mm of rain fell on Central Alberta in 36 hours Over 200 homes were damaged by flooding and 4 were destroyed 1 man drowned while crossing a river and a woman was missing  During the two week time period approximately 34 families and 85 people were evacuated,july,heavy,rains
129,Woodstock area NB August 1990 Flooding was caused by heavy rains,august,flooding,caused
130,Northumberland Strait NS and PE August 1990 Six crew were killed when a cargo ship sailing south of Nova Scotia was battered by hurricane Bertha,august,crew,killed
131,Southern Ontario August 29 1990 Tornadoes high winds and thunderstorms caused crop damage and the destruction of several buildings in the communities of Lobo Komoka Frome Port Stanley Southwold and Kendall,august,tornadoes,winds
132,Joe Rich and Southern British Columbia June 12 1990 3 dead debris avalanche caused by heavy rains and flooding,june,dead,debris
133,Oka QC July 11 1990 Members of the militant Mohawk Warriors Society set up roadblocks over a dispute involving Mohawk claims to land being used for expansion of the Oka golf club,july,members,militant
134,Southwestern British Columbia November 813 1990,november,,
135,Madeleine Islands QC December 16 1990 The fishing trawler MV Nadine sank off the Madeleine Islands Quebec in high winds and three metre high waves causing death by hypothermia of seven crew members and a fisheries researcher there were two survivors a coroners report released in June 1992 blamed the loss of life and sinking of the vessel on a series of human errors illfitting survival suits malfunctioning navigational equipment lack of automatic pumps lack of safety measures and emergency drills for those aboard the vessel and ships officers untrained in emergency procedures,december,trawler,mv
136,Southern Alberta and Saskatchewan June 17 2010 Record rainfall resulted in extensive flooding in Alberta and Saskatchewan washing out a portion of the TransCanada highway and shutting down part of the Canadian Pacific rail line Fourty people from the Blood Tribe reserve 75 homes in Maple Creek and 600 households in Medicine Hat were forced to evacuate Disaster financial assistance was provided by both provinces,june,record,rainfall
137,Prairie Provinces 1991 Severe and widespread surface water droughts reported on the Prairies,severe,widespread,surface
138,Cochrane ON January 11 1991 The failure and explosion of a section of pipeline resulted in approximately 255 meters of pipe to blow out and release approx 1 billion m3 of high pressure natural gas,january,failure,explosion
139,Bugaboo Purcell Mountains BC March 12 1991 Nine heliskiers were killed in a massive avalanche in Bugaboo Glacier Provincial Park,purcell,mountains,march
140,NotreDame de Pierreville QC April 1991 The only road to the village was partially demolished by a landslide leaving 600 people completely isolated,notredame,april,road
141,Chaudiere River QC April 78 1991 Residents along the Chaudiere River south of Quebec City experienced the highest flood levels in several years,chaudiere,april,residents
142,Niverville MB May 1 1991 A fire of unidentified origin engulfed a warehouse containing granulised fertiliser and thousands of litres of herbicides and pesticides,fire,unidentified,origin
143,Old Crow YT May 89 1991 Ice jams caused the Porcupine River to overflow and flood the community of Old Crow Over half of the buildings sustained damage including 3240 homes the church the school  the airport runway and terminal building the Nursing Station and Coop Store Supplies electrical systems and generators were also damaged,ice,jams,caused
144,Betsiamites Ragueneau and Baie Comeau QC June 29 1991 Residents of the Montagnais Reserve of Betsiamites and the community of Ragueneau were evacuated,june,residents,montagnais
145,Red Deer AB July 3 1991,july,,
146,St Lazare MB July 9 1991 25 cars in an 88car train jumped the tracks near the village of St Lazare,july,cars,car
147,Saudi Arabia July 11 1991 Nationair DC8 crashed in Saudi Arabia killing 261 people,july,nationair,dc
148,Sarnia ON July 22 1991 5000 residents evacuated,july,residents,evacuated
149,21 miles south of Cape Beale BC July 22 1991 A collision and subsequent sinking of Japanese Fish Factory Ship Tenyo Maru with Chinese Bulk Carrier Tuo Hai while the latter was weaving in and out of 1520 fishing vessels,july,collision,subsequent
150,Kinsella near Wainwright AB August 5 1991 A train struck a tractortrailer unit loaded with light crude oil,august,train,struck
151,Southern New Brunswick August 19 1991 2 deaths,august,deaths,
152,St Lawrence River QC August 27 1991 The tornado affected the Village of Maskinonge,august,tornado,affected
153,Southwestern British Columbia August 29 to September 1 1991 Heavy rains caused extensive damage in the Southwestern area of BC mainly surrounding Vancouver and the Chilliwack area More specifically in the South Central region Bella Coola Chilcotin West Central Region Southwest Region Fraser Columbia Kooteney Similkameen and Peace Regions,august,september,heavy
154,Calgary AB September 7 1991 Labour Day 30 minute thunderstorm  Downpours of rain and golfballsized hail flooded basements and caused property damage,september,labour,minute
155,Jarvis ON September 26 1991 1300 evacuated,september,evacuated,
156,Near North Pole NU October 1 1991  A Hercules military plane crashed on the northern tip of Ellesmere Island near Alert 18 people were killed and there was 1 survivor,october,hercules,military
157,Canso NS October 8 1991 An operator error occurred during the installation of a refrigerator which converts freon to ammonia,october,operator,error
158,Vernon BC October 16 1991,october,,
159,Maritime Provinces especially Nova Scotia October 25  November 3 1991 The Halloween Storm of 1991 was produced by two hurricanes Grace and an unnamed storm over the north Atlantic,october,november,halloween
160,Northwestern British Columbia October 814 1991  Flooding due to heavy rainfall along the Kitimat Skeena and Nass rivers caused damage in Terrace Stewart and Prince Rupert Highways and forest service roads flooded and washed out and numerous bridges were damaged or destroyed There was erosion damage to spawning beds and some landslides resulted Communities along the Nass River isolated were isolated,october,flooding,heavy
161,Grand Coulee SK November 20 1991 A fire in a storage depot containing 45 gallons of cyanide salts and 2500 gallons of bulk farm pesticide phosphorus and a sodiumbased chemical forced the evacuation of the 200 residents of Grand Coulee for about three hours,november,fire,storage
162,Central Ontario November 30 1991,november,,
163,Haines AB December 6 1991 A frozen oil rig blew out while crews tried to thaw the pipes,december,frozen,oil
164,Prairie Provinces 1992 Livestock yields were low in northern Alberta and Saskatchewan due to dry conditions,livestock,yields,dry
165,Lethbridge AB 1992,,,
166,Corunna ON January 21 1992 Abnormal discharge from a refinery of approximately 1000 kg of benzene toluene and xylene into a sewer which drains to Telford Creek and St Clair River,january,abnormal,discharge
167,Maritime Provinces February 14 1992  A 110hourlong blizzard with gusts up to 140 kmh brought record snowfall of 163 cm to Moncton New Brunswick,february,hourlong,blizzard
168,Montreal QC February 16 1992 Four large commercial and residential heritage buildings in Old Montreal near historic Notre Dame Basilica were totally destroyed in a tenhour blaze fought by more than 100 fire fighters,february,commercial,residential
169,Edmonton AB August 28 1992,august,,
170,Elmira ON August 28 1992,august,,
171,Port au Choix NL January 31 1992 120000 litres of diesel oil leaked from a storage tank and flowed downhill into the harbour,january,litres,diesel
172,Peace River 388 km northwest of Edmonton AB February 28  March 4 1992 Unseasonably warm weather broke up the frozen Peace River ice jams caused water levels to rise 43 m above average,february,march,unseasonably
173,SainteBrigittedeLaval about 40 km north of Quebec City QC March 12 1992 Approximately 40 people were airlifted from this community on Ile Enchanteresse a mile long island 40km north of QuAAbec City when flood waters caused by an ice jam on the Montmorency River rapidly inundated the town flooding 80 houses,saintebrigittedelaval,march,approximately
174,23 miles west of PortauxBasques NL March 13 1992 The Panamanian bulk carrier MV SKRIM sustained ice damage and leaked approximately 145 m3 of heavy oil into the ice near the vessel and onto the southwest shore of Newfoundland,portauxbasques,march,panamanian
175,Sarnia ON March 19 1992 A problem with a heat exchanger unit of a rubber manufacturing plant caused the release of 1500 kg of  isobutylene to the St Clair River in two consecutive spills Mar 1920 1992,march,problem,heat
176,Nanaimo BC March 26 1992 A tanker truck overturned in a residential area and leaked a total of 200 litres of methanol,march,tanker,truck
177,Hay River NT April 25 1992 Approximately 100 residents were evacuated as a 10kilometredeep ice jam at the mouth of the Hay River flooded the town of 3100 people,april,approximately,residents
178,Plymouth NS May 9 1992 A coaldust explosion detonated by burning methane gas at the Westray Mine on the Foord Seam in Plymouth killed 26 miners of which 11 were killed by the explosion and the other 15 were presumed dead when rescue attempts were abandoned due to dangerous conditions and risk of another explosion,coaldust,explosion,detonated
179,Attawapiskat ON May 18 1992 Approximately 1000 residents of this remote Cree village near James Bay were evacuated when the Attawapiskat River flooded,approximately,residents,remote
180,Longlac ON May 25 1992 A freight train carrying 4 ammonia cars derailed causing a small leak in two of the cars,freight,train,carrying
181,Prairie Provinces and Ontario Summer 1992  Unseasonable snow and frost during the months of June July and August caused massive damage to agricultural crops,summer,unseasonable,snow
182,Toronto ON July 31 1992,july,,
183,Calgary AB July 31 1992,july,,
184,Oakville MB December 18 1992 A 29car derailment of a 41car train and subsequent Chemical release caused the evacuation of the 410 residents of Oakville near Portage la Prairie for 24 days during the ChristmasNew Years period Dec 18 1992 to January 10 1993,december,car,derailment
185,Yukon rivers YT June 17  July 1992 Aboveaverage snowpack and precipitation combined with high winter temperatures caused flooding along the Upper Liard River basin Teslin River basin South Canol Area Upper Lakes of the Yukon River basin Stewart River and Bennett Lake  The Upper Liard River basin peaked on June 17 the fifth highest record since 1960,june,july,aboveaverage
186,Yellowknife NT September 18 1992 A rail car in the Giant Yellowknife gold mine 230 metres below ground was ripped apart by a massive explosion killing nine miners aboard,september,rail,car
187,Avalon and Burin Peninsulas and Bonavista Trinity and Conception Bays NL October 6 1992 A violent storm struck on the evening of the October 6 with winds of 139 kmh in some areas and 55 mm of rain,october,violent,storm
188,St Johns NL December 21 1992 500 evacuated,johns,december,evacuated
189,PVYN Potato Virus Prince Edward Island and New Brunswick 1993 Potato crops were affected,pvyn,potato,virus
190,Prairie Provinces 1993 Severe and widespread surface water droughts reported on the Prairies,severe,widespread,surface
191,Eastern Canada off Cape Sable Island NS March 15 1993 March blizzards caused by a midlatitude cyclone which moved up the North American eastern seaboard eventually claimed more than 240 lives,sable,march,march
192,Upper Saint John River valley NB April 1993 Intense spring rainfall and deeper than normal snowpack caused flooding of the Upper Saint John River valley Public and private property and municipalities incurred damage,april,intense,spring
193,Shubenacadie NS April 27 1993 A tractor trailer and pup trailer containing hazardous materials hit an ice patch and overturned causing the leak of chemicals including nitric acid potassium hydroxide and sodium hydroxide,april,tractor,trailer
194,Saskatchewan July 29 1993,july,,
195,Quebec July 2930 1993,july,,
196,Edmonton AB July 29 1993,july,,
197,Swan River MB July 4 1993 Prolonged rains resulted in severe flooding in the rural municipalities of Swan River Minitonas Ethelbert the Local Government district of Mountain and adjoining municipalities causing extensive damage to homes public utilities and municipal infrastructure 7 bridges washed away  3 highways and numerous roads closed 650 homes were evacuated,july,prolonged,rains
198,Truro NS July 14 1993 A refrigeration leak resulted in liquid anhydrous ammonia flowing into a floor drain and into the Salmon River causing a major fish kill,july,refrigeration,leak
199,Winnipeg MB July 25  August 14 1993 The City of Winnipeg was declared a disaster area because of flooding caused by prolonged heavy rainfall,july,august,declared
200,Windsor ON October 17 1993 A leaking fuel line connected to a storage tank released 4500 litres of fuel oil to the storm sewer system which leads to the outfall into the Little River and subsequently into the Detroit River,october,leaking,fuel
201,Ontario and Quebec November 1993  March 1994,november,march,
202,Kirkland Lake ON November 26 1993 Two miners were trapped following a rockburst 2 km below the surface rescue efforts failed the bodies were not recovered,november,miners,trapped
203,Alberta to the Maritimes late January to early February 1994 Coldest Jan in 100 years  St Johns NF 145AC,late,january,early
